58376	U81994	11/12/2019 2:14:46 PM	N138 N64727 N138 N27288 N43403 N50985 N29177 N11701 N40545 N58641 N16109 N47765 N23604 N57192 N22737 N9653 N11177 N61773 N19128 N45336 N45705 N57491 N10235 N16642 N35519 N6695 N18030 N62789 N15253 N63054 N38298 N38865 N59822 N14414 N60530 N34708 N22561 N42281 N41676 N8834 N39263 N56462 N28762 N1595 N16363 N9412 N16420 N4868 N37920 N20613 N31801 N24696 N30884 N9629 N23614 N64467 N24448 N63779 N8331 N3583 N23726 N17387 N65043 N47672 N8708 N6734 N56015 N43142 N13138 N17878 N49480 N14723 N38777 N46267 N42252 N6668 N60611 N7407 N44426 N47687 N38347 N23958 N46811 N23575 N475 N10353 N3113 N3491 N57768 N62801 N34451 N53617 N101 N28709 N6084 N48052 N46057	N43266-0 N58363-0 N6975-1 N33212-0 N64851-0 N20678-1 N12493-0 N46607-0 N62386-0 N45422-0 N32182-0 N22339-0 N33261-0 N40839-0 N62360-0 N44422-0 N63970-0
57205	U55130	11/13/2019 5:53:12 AM	N29177 N35009 N55846 N26760 N11291 N50454 N10646 N37976 N38118 N24421 N18774 N55189 N18760 N22745 N6056 N22525 N46978 N61471 N26642 N871 N52301 N6056 N28376 N15034 N50292 N36699 N50032 N38876 N63906 N55951 N33438 N8834 N6464 N52497 N4960 N57109 N9798 N30531 N63049 N56121 N9803 N61388 N16617 N49699 N1120 N17968 N64955 N19823 N29395 N13569 N56121 N43399 N1470 N53644 N45994 N22161 N55743 N30842 N13057 N6484 N37857 N54453 N31709 N63302 N45954 N15587 N34287 N40944 N7898 N40640 N37934 N26026 N42528 N61535 N63567 N35710 N21448 N20547 N63688 N32008 N39670 N62009 N13138 N47348 N38256 N6778 N8073 N8143 N53948 N35819 N23239 N12254 N64983 N62302 N48564 N16239 N11804 N5353 N13081 N30182 N5277 N40376 N38166 N52428 N50 N8148 N40785 N7535 N58574 N29857 N52154 N1294 N62590 N36615 N22816 N12608	N47061-0 N849-0 N48063-0 N7121-0 N36184-0 N34612-0 N64968-0 N42143-0 N64734-0 N59469-0 N14592-0 N13907-0 N43386-0 N51853-0 N59673-1 N13579-0 N17759-0 N6857-0 N34876-0 N24157-0 N47149-0 N60992-0 N20076-0 N35170-0 N3841-0 N36659-0 N46279-0 N45266-0 N19444-0 N14726-0 N28213-0 N29468-0 N29801-0 N61571-0 N55281-0 N62128-0 N22320-0 N25949-0 N38159-0 N59272-0 N41122-0 N57426-0 N41172-0 N24423-0 N35047-0 N42977-0 N19592-0 N15279-0 N35233-0
100643	U35841	11/9/2019 6:42:51 PM	N138 N49223 N49481 N44495 N24691 N47966 N51692 N34797 N36297 N10843 N14761 N13429 N55497 N57399 N23518 N64631 N48715 N65204 N24765 N50 N38330	N50329-0 N11853-0 N1034-0 N48621-0 N29840-0 N44616-0 N31054-0 N28735-0 N23548-0 N31679-0 N55645-0 N37394-0 N59852-1 N32846-0 N29854-0 N62314-0 N53343-0 N39267-0 N2886-0 N18870-0 N6658-0 N63685-0 N25811-0 N35907-0 N26721-0 N4912-0 N16344-0 N20281-0 N33981-1 N61185-0 N26084-0 N65185-0 N52694-0 N28324-0 N31300-1 N4080-0 N29003-0 N22408-0 N57179-0 N36964-0 N11362-0 N61407-0 N10350-0 N279-0 N45550-0 N33799-0 N41617-0 N195-0 N30295-0 N36752-0 N20020-0 N38783-0 N55897-0 N23784-0 N26130-0 N47020-0 N47401-0 N19911-0 N37377-0 N21351-0 N54300-0 N25546-0 N62391-0 N15457-0 N26278-0 N14780-0 N1936-0 N50452-0 N53017-0 N36545-0 N22549-0 N29218-0 N54634-0 N30473-0 N55743-0 N21377-0 N12579-0 N11830-0 N5905-0 N47061-0 N38079-0 N28788-0 N19043-0 N39342-0 N13580-0 N35567-0 N54752-0 N45428-0 N50302-0 N4854-0 N38330-1 N55714-0 N15435-0 N63958-0 N17357-0 N23184-0 N49908-0 N47099-0 N27525-0 N56396-0 N48958-0 N31281-0 N56665-0 N45211-0 N28934-0 N26706-0 N26179-0 N37009-0
54362	U55536	11/12/2019 1:01:29 PM	N55189 N14644 N14629 N19982 N4020 N33276 N39173 N39235 N36440 N24356 N2910 N1438 N60340 N49731 N45794 N39867 N16292 N59704 N46909 N48811 N45403 N50328 N37003 N32312 N42726 N35022 N9798 N3188 N4848 N17968 N37857 N306 N26026 N65200 N52500 N42620 N38924 N39670 N52551 N34983 N10998 N8549 N4607 N41218 N15788 N60702 N14742 N5886 N13153 N49040 N22816 N58649 N40785	N57754-0 N16096-0 N33212-1 N49180-0 N58363-0 N3344-0 N63970-0 N31029-0 N62386-0 N42634-0 N41020-0 N34998-0 N22339-0 N32182-0 N6975-0 N62360-0 N64851-0 N40839-0
126069	U37180	11/14/2019 7:56:37 AM	N55326 N32852 N40944	N25133-0 N45509-0 N61787-0 N18522-0 N64412-0 N55488-0 N10960-0 N46821-0 N39109-0 N38869-0 N38779-0 N36226-0 N25163-0 N23877-0 N50872-0 N13981-0 N9135-0 N47098-0 N23446-0 N30920-0 N40210-0 N50601-0 N51570-0 N34600-1 N60550-0 N64095-1 N53698-0 N61296-0 N11817-0 N48017-0 N6477-0
150258	U69672	11/12/2019 1:49:42 PM	N52097 N13233 N42989 N4304 N41089 N27448 N21383 N55189 N21623 N4830 N871 N20530 N16233 N871 N38165 N56663 N53234 N770 N12907 N51706 N61319 N15253 N39235 N23689 N12096 N24356 N46023 N45794 N9721 N35022 N54435 N24368 N56240 N31801 N54225 N40944 N54469 N13429 N38105 N8549 N32004 N60702 N63854 N8148 N32705 N60519	N12493-0 N58363-0 N63970-0 N22339-0 N6975-0 N40839-1 N33212-0
42248	U23653	11/11/2019 5:32:54 PM	N35069 N43903 N25158 N58639 N54293 N56753 N17811 N59285 N62545 N13374 N19817 N27938 N61249 N9170 N13157 N57608 N21881 N62311 N55550 N52026 N51613 N55556 N39777 N55192 N33013 N25453 N90 N45428 N41651 N54692 N52012 N35458 N63074	N9139-0 N24176-0 N55204-0 N21840-0 N23081-0 N12492-0 N1920-0 N41222-1 N60577-0 N25587-0 N56598-0 N30518-0 N35738-0 N55631-0 N42597-0 N49375-0 N26673-0 N64945-0 N2869-0 N21119-0 N4936-0 N44516-0 N30135-0 N18708-0 N46029-0 N64542-0 N20930-0 N10642-0 N21-0 N39331-0 N54482-0 N25163-0 N19423-0 N29715-0 N53054-0 N13816-0 N53696-0 N22457-0 N32087-0 N29128-0 N61608-0 N20527-0 N5980-0 N13263-0 N5370-0 N45366-0 N47981-0 N1914-0 N51210-0 N31370-0 N24686-0 N34724-0 N36933-0 N56517-0 N43648-0 N3541-0 N2350-0 N22664-0 N27966-0 N23563-0 N555-0 N55689-0 N3821-0 N58410-0 N16380-0 N16920-0 N51506-0 N12800-0 N35272-0 N64816-0 N38566-0 N33872-0 N15132-0 N11768-0 N21882-0 N15855-0 N57456-0 N51587-0 N57809-0 N45270-0 N6342-0 N57713-0 N7466-0 N64482-0 N23254-0 N25081-0 N6379-0 N49935-0 N52622-0 N41578-0 N58003-0 N24985-0 N6099-0 N23235-0 N15761-0 N1355-0 N16533-0 N9271-0 N12028-0 N33848-0 N23935-0 N2-0 N32387-0 N45660-0 N43496-0 N45616-0 N23414-0 N46751-0 N62688-0 N3506-0 N61623-0 N13730-0 N48578-0 N54489-0 N33619-0 N30215-0 N39461-0 N20486-0 N6926-0 N16342-0 N58553-0 N45368-0 N40468-0 N65118-0 N34008-0 N3474-0 N40065-0 N43992-0 N57402-0 N20811-0 N60272-0 N37781-0 N46526-0 N57005-0 N32691-0
79484	U86679	11/14/2019 3:37:06 PM	N29177 N53636 N60559 N8485 N719 N46978 N16233 N5056 N12907 N15034 N20286 N363 N7242 N42526 N61313 N42281 N17966 N27320 N56121 N40716 N23653 N63656 N49648 N34287 N26026 N4526 N28088 N55556 N6616 N33013 N64515 N42330 N8148	N33828-0 N61233-1 N19661-0 N14478-0
71297	U56930	11/11/2019 2:05:17 PM	N54575 N37495 N13461 N21215 N52532 N27526 N15053 N41617	N55689-0 N13930-0 N45616-0 N23174-0 N53237-0 N32087-0 N61648-0 N24686-0 N42961-0 N40725-0 N3541-0 N20954-0 N17586-0 N25587-0 N52622-0 N43502-0 N46526-0 N17355-1 N64525-0 N8957-0 N33848-0 N154-0 N23414-0 N22221-0 N10688-0 N54988-0 N17106-0 N57368-0 N63538-0 N55204-0 N47161-0 N49777-0 N60272-0 N7128-0 N54489-0 N42144-0 N19542-0 N44818-0 N33964-0 N5370-0 N54482-0 N47229-0 N38662-0 N41627-0 N22457-0 N57957-0 N2952-0 N41578-0 N60826-0 N39765-0 N31769-0 N9869-0 N45456-0 N60858-0 N20112-0 N21840-1 N32923-0 N30998-0 N36712-0 N7092-0 N26159-0 N34724-0 N58183-0 N30108-0 N61623-0 N47401-0 N43415-0 N2350-0 N20018-0 N46029-0 N35854-0 N51506-0 N18708-0 N40431-0 N53585-0 N53054-0 N6342-0
116788	U92035	11/12/2019 9:38:41 AM	N13753 N55714	N23547-0 N11817-1 N24423-0 N7319-0 N31978-0 N36789-0 N63970-1 N48019-0 N33212-0 N41220-0 N5516-0 N33619-0 N48046-0 N3123-0 N21656-0 N21753-0 N15315-0 N58363-0 N32544-0 N31947-0 N50675-0 N20069-0 N14184-0 N34998-0 N41020-0 N62360-0 N43519-0 N32182-0 N60105-0 N49180-0 N64152-0
